College,Department,CourseNumber,Title,Credits,Type,Description,AverageRating
MET,AD,510,Mathematics & Statistics in Management,4,IN_PERSON,The goal of this course is to introduce to students foundational mathematics and statistics knowledge that will provide them skills and tools necessary to succeed in their area of study.,0
MET,AD,510,Mathematics & Statistics in Management,4,ONLINE,The goal of this course is to introduce to students foundational mathematics and statistics knowledge that will provide them skills and tools necessary to succeed in their area of study.,0
MET,AD,571,Business Analytics Foundations,4,IN_PERSON,"This course presents fundamental knowledge and skills for applying business analytics to managerial decision-making in corporate environments. Topics include descriptive analytics (techniques for categorizing, characterizing, consolidation, and classifying data for conversion into useful information for the purposes of understanding and analyzing business performance), predictive analytics (techniques for detection of hidden patterns in large quantities of data to segment and group data into coherent sets in order to predict behavior and trends), prescriptive analytics (techniques for identification of best alternatives for maximizing or minimizing business objectives). Students will learn how to use data effectively to drive rapid, precise, and profitable analytics-based decisions. The framework of using interlinked data-inputs, analytics models, and decision-support tools will be applied within a proprietary business analytics shell and demonstrated with examples from different functional areas of the enterprise. Prereq: AD100 Pre-Analytics Laboratory",0
MET,AD,571,Business Analytics Foundations,4,ONLINE,"This course presents fundamental knowledge and skills for applying business analytics to managerial decision-making in corporate environments. Topics include descriptive analytics (techniques for categorizing, characterizing, consolidation, and classifying data for conversion into useful information for the purposes of understanding and analyzing business performance), predictive analytics (techniques for detection of hidden patterns in large quantities of data to segment and group data into coherent sets in order to predict behavior and trends), prescriptive analytics (techniques for identification of best alternatives for maximizing or minimizing business objectives). Students will learn how to use data effectively to drive rapid, precise, and profitable analytics-based decisions. The framework of using interlinked data-inputs, analytics models, and decision-support tools will be applied within a proprietary business analytics shell and demonstrated with examples from different functional areas of the enterprise. Prereq: AD100 Pre-Analytics Laboratory",0
MET,AD,600,Economic Development and Tourism Management,4,IN_PERSON,"Provides a market oriented, strategic planning framework to address a broad range of tourism and regional economic and development issues that relate to tourism industry development and growth. The interplay of private, public and government organizations is discuss as they relate to the development of a comprehensive tourism plan. The combination of theory and practice will prepare students to analyze tourism markets, assess area, regional and national weakness and strengths as well as the security, infrastructure/logistics, marketing and costs associated tourism. Topics include: importance of tourism to the economy, developing the tourism strategy, ecotourism, research and analysis, positioning and marketing, funding tourism and developing new attractions.",0
MET,AD,603,Evaluating and Developing Markets for Cultural Tourism,4,IN_PERSON,"Cultural tourism in the 21st century is more than the traditional passive activities of visiting a museum, hearing a concert or strolling down an historic street. It has become an active, dynamic branch of tourism in which half of all tourists have stated that they want some cultural activities during their vacation. In this course we will introduce various themes of cultural tourism including the relationship between the Tourist Industry and the Cultural Heritage Manager, conservation and preservation vs. utilization of a cultural asset, authenticity vs. commoditization, stakeholders and what should be their rights and obligations, tangible and intangible tourist assets, the role of government, private industry and the non-profit sectors in tourism planning and sustainable economic development. We will examine these themes in different areas of cultural tourism including the art industry, historical sites, cultural landmarks, special events and festivals, theme parks and gastronomy.",0
MET,AD,605,Operations Management: Business Process Fundamentals,4,IN_PERSON,This course helps students to develop an understanding of the impact of business processes on the organization's performance and provides students the key tools to analyze and improve processes in both manufacturing and service sectors.,0
MET,AD,605,Operations Management: Business Process Fundamentals,4,ONLINE,This course helps students to develop an understanding of the impact of business processes on the organization's performance and provides students the key tools to analyze and improve processes in both manufacturing and service sectors.,0
MET,AD,610,Enterprise Risk Management,4,IN_PERSON,"This overview course examines the management issues involved with assessing the security and risk environments in both the private and public sectors in order to assure continuous system-wide operations. The course studies the elements of operational and technological risk assessment and operational continuity using a project management framework and quantitative risk metrics. Students are exposed to the role of the firm in crisis response and management as well as the terms, systems, and interactions necessary to assure continuous operations. Topics include: the role and need for comprehensive assurance strategy and planning; information security; an overview of the system-wide structure; the social and emotional impact on the workforce as well as its effect on productivity; and the organizational infrastructure relating to national, regional, and international compliance.",0
MET,AD,610,Enterprise Risk Management,4,ONLINE,"This overview course examines the management issues involved with assessing the security and risk environments in both the private and public sectors in order to assure continuous system-wide operations. The course studies the elements of operational and technological risk assessment and operational continuity using a project management framework and quantitative risk metrics. Students are exposed to the role of the firm in crisis response and management as well as the terms, systems, and interactions necessary to assure continuous operations. Topics include: the role and need for comprehensive assurance strategy and planning; information security; an overview of the system-wide structure; the social and emotional impact on the workforce as well as its effect on productivity; and the organizational infrastructure relating to national, regional, and international compliance.",0
